가수,제목,발매일,장르,가사
휘인 (Whee In),오묘해,2022.01.16,R&B/Soul,"오묘해 내게 갇힌 듯 아닌 Your Eyes 너의 Poker FaceOh I Don’t Know Your Mind깊이 섞일 듯 말 듯 한 맘 (Oh I Don’t Wanna Let You Down)스쳐간 찰나도 느리게 Rewind의미를 새겨 지우지도 못해Talk To Me Softly 너를 오롯이내 귀에 속삭여 네 맘을 말해줘넌 어딘가 묘해 뭔가 좀 이상해자꾸 오묘하게 몰래 마음이 닿아 닿아조금 더 숨겨도 돼I Can Stand Everyday신경 쓰이는 게 좋아 넌 참 묘해Come Around Come Around Come AroundCome Around Come Around Come AroundYou Make Me Happy Make Me Happy Come Around Come Around Come AroundCome Around Come Around Come AroundYou Make Me Happy Make Me Happy 오묘해 (I’ve Been Curious)문이 닫힌 듯 열린 공간(닿을 듯 말 듯 아슬한)끝이 없는 TESTOh I Don’t Know Your Mind (Woo Woo)올라간 듯 아닌 밝은 Your SmileI Really Don’t Want To Know스쳐간 찰나도 느리게 Rewind의미를 새겨 지우지도 못해Talk To Me Softly너를 오롯이내 귀에 속삭여 네 맘을 말해줘넌 어딘가 묘해 뭔가 좀 이상해자꾸 오묘하게 몰래 마음이 닿아 닿아조금 더 숨겨도 돼I Can Stand Everyday신경 쓰이는 게 좋아넌 참 묘해시간이 지나면 이 적당한순간이 그리울 거야무언가 피어오를 듯 오묘한 이 온도를 새겨둬넌 갸웃하게 돼날 서두르게 해깊게 스며든 채맘이 앞서 가-가조금 더 숨겨도 돼I Can Stand Everyday신경 쓰이는 게 좋아 넌 참 묘해Come Around Come Around Come AroundCome Around Come Around Come AroundYou Make Me Happy Make Me Happy Come Around Come Around Come AroundCome Around Come Around Come AroundYou Make Me Happy Make Me Happy
"
THAMA,Do It For Love (Feat. 죠지),2020.06.24,R&B/Soul,아침햇살은 밝아텅 빈 하루를 살아 난나이는 적지 않아가끔씩 궁금해져어딜 향해 달려 넌끝도 없이 밟아 왜아직 뭔가를 찾는 너와 나한심하다는 건 절대 아냐why you keep on fallin괜히 고민을 하는 나아직도 우린 너무 몰라 yeahwhy we keep on falling down굳이 먼 길로 돌아가냐 왜아직도 우린 몰라 왜I just wanna knowwhy we keep on trippin'cause when we do it for love뜨거운 눈물을 흘려but never travel alone높은 언덕을 넘어 점점 멀리we do it for lovedo it for love거짓말처럼저마다의 고민들은 많지만그런대로 살아가고 있는걸어디쯤인지는 모르겠지만앞으로만은 가고 있는걸I just wanna know why I'm here친구들에게 물어봐도they don't know아무리 물어봐도결국에 답을 아는 건 나why keep on losing my way사소한 고민 걱정도아마도 시간 지나면 다why keep on falling down사서 고생을 하냐 넌이제야 알 것 같아 난that's when we do it for lovecause when we do It for love뜨거운 눈물을 흘려but never travel alone높은 언덕을 넘어 점점 멀리we do it for lovedo it for love거짓말처럼cause when we do it for love뜨거운 눈물을 흘려but never travel alone높은 언덕을 넘어 점점 멀리we do it for lovedo it for love거짓말처럼
휘성 (Realslow),전할 수 없는 이야기 (부제:시티 오브 엔젤),2002.04.03,R&B/Soul,나 너를 사랑하나봐 아주 오래전부터 이 말 전해 주고 싶었어 이 말을 하고 싶어서 오늘도 네 주위를 하루종일 맴돌고 있어 이런 나의 마음을 조금이라도 혹시 니가 알아줄 수만 있다면 Someday I'll show you all my mind 항상 내가 있었다고 언제나 너 머물러 지내는 곳엔 Just let me cry for you tonight 아무말 못하는 내가 니곁에 있다는 그것도 모르는 널 위해 언젠가 나를 보면서 웃어주던 니 모습 떠오를땐 너무 좋았어 나를 향한 미소가 아니었는데 마치 내 맘 알아주는 것만 같아 Someday I'll show you all my mind 항상 내가 있었다고 언제나 너 머물러 지내는 곳엔 Just let me cry for you tonight 아무말 못하는 내가 니곁에 있다는 그것도 모르는 널 위해 제발 내 미소 그대가 느껴와주면 좋을텐데 내 사랑이 너에게 부담일까 걱정스러워 Someday I'll show you all my mind 항상 내가 있었다고 언제나 너 머물러 지내는 곳에 Just let me cry for you tonight 아무말 못하는 내가 니곁에 있다는 그것도 모르는 널 위해 내 맘도 모르는 널 위해 
맥케이 (McKay),Angel 2 Me (Duet. Jeff Bernat),2015.02.06,R&B/Soul,Lady I love you I justwanna show youFrom the way you touch meand kiss me to the sparkle in your eyeOh how I love you I justfeel so lost without youWith my love and intuitionyou’ll never have to say goodbye어제는 맘이 급했어니가 너무 예뻐서너의 이름도 몰랐어중요하질 않아서느낌이 좀 이상했어눈이 마주칠 땐 정말 내꺼 같았어헝클어진 니 머리 그 여린 숨소리이 느낌은 뭐지 가슴이oh I really can't explain언젠간 너도 날 사랑할까나는 준비가 다 됐어Baby give me just one chanceLady I love you I justwanna show youFrom the way you touch me and kiss me to thesparkle in your eyeOh how I love you I just feel so lost without youWith my love and intuitionyou’ll never have to say goodbyeGot me singing thatI need you desperatelyAin’t no reason thatyou gotta question meIt’s a fact that I want you in my lifeNo matter whatyou’re an angel to meSee I don’t want anotherBaby there’s no other babyYou got me cheesin and feelin some type of way저 거울 속에 비친난 마치 your honey이 느낌은 마치 영원히계속될 기분이야니 맘이 다르면 어떡할까아니 그럴 리가 없어Baby give me just one chanceLady I love you I just wanna show youFrom the way you touch meand kiss me to the sparkle in your eyeOh how I love you I justfeel so lost without youWith my love and intuitionyou’ll never have to say goodbyeLady I love you I just wanna show youFrom the way you touch meand kiss me to the sparkle in your eyeOh how I love you I just feelso lost without youWith my love and intuitionyou’ll never have to say goodbye아침이 오는 소리 날 찾는목소리 난 그대를 사랑해
헤이즈 (Heize),어쩌면 우리 (Feat. 죠지),2022.06.30,R&B/Soul,"너와의 모든 이야기 입버릇처럼 헤어져 버린 어쩌면 이게 우리인 걸까 부서져 버린 이야기 마치지 못한 채로 우린어쩌면 이게 미련인 걸까 성의 없는 한마디에 돌아서는 너의 뒷모습이게 마지막이 될 줄은 괜한 자존심 때문에 괜찮지 않은 척하면서 네가 말을 걸어주길 바랐어우린 서로를 잘 몰라서 위로가 되지 못했나 봐우리 이렇게 끝날 수 있단 걸전혀 몰랐나 봐너와의 모든 이야기 입버릇처럼 헤어져 버린 어쩌면 이게 우리인 걸까 부서져 버린 이야기 마치지 못한 채로 우린어쩌면 이게 미련인 걸까 결국 이렇게 될 걸진작에 돌아설 걸 그랬어왜 바보처럼 굴어서여기까지 온 거잖아더 이상은 미련 없어닳고 닳아 무뎌진 지우개처럼서로를 밀어내듯 지워내보자우린 서로를 잘 몰라서 위로가 되지 못했나 봐우리 이렇게 끝날 수 있단 걸전혀 몰랐나 봐너와의 모든 이야기 입버릇처럼 헤어져 버린 어쩌면 이게 우리인 걸까 부서져 버린 이야기 마치지 못한 채로 우린어쩌면 이게 미련인 걸까 넌 뻔하지 않을 거라고 했지만내가 아는 그 어떤 얘기보다도진부하잖아사랑했지만내일이면 남이 된다너와의 모든 이야기 입버릇처럼 헤어져 버린 어쩌면 이게 우리인 걸까 부서져 버린 이야기 마치지 못한 채로 우린어쩌면 이게 미련인 걸까
"
챈슬러,Surrender (Feat. 린),2016.11.30,R&B/Soul,그렇게 좀 날 쳐다보지 마다른 사람 같잖아빗나간 너의 말이내 몸을 뚫고 지나가미안하단 말이 어려워서제발 좀지치고 다쳐그 이유조차 모른 채내 맘엔 회오리가 몰아쳐멈출 수가 없었어서로 칼이 된 말이재가 돼버린 맘이 돌이켜지지 않아또 내 방에 메아리 돼 소리쳐 견딜 수가 없었어사랑하기는 하니이러는 내 맘 아니이 말이 익숙해져I surrender상처난 자리만 두드리고내 얘기보단 두 손을 들어이렇게 날 혼자 두지 마여기까지 견뎌왔는데한걸음 더 끝까지 너이래야만 하니시작의 끝에그 이유조차 모른 채내 맘엔 회오리가 몰아쳐멈출 수가 없었어서로 칼이 된 말이재가 돼버린 맘이 돌이켜지지 않아또 내 방에 메아리 돼 소리쳐 견딜 수가 없었어사랑하기는 하니이러는 내 맘 아니이 말이 익숙해져I surrender너 없이는 변하지 못해아무것도 할 수 없는 날 용서해I hate what I say when I'm mad at you babe휘날리며 널 기다려내 맘에 회오리가 몰아쳐멈출 수가 없었어서로 칼이 된 말이재가 돼버린 맘이 돌이켜지지 않아또 내 방에 메아리 돼 소리쳐 견딜 수가 없었어사랑하기는 하니이러는 내 맘 아니이 말이 익숙해져Cuz I surrender
헤이즈 (Heize),만추 (Feat. Crush),2019.10.13,R&B/Soul,이제 일어나서각자의 길을 가자너를 기다릴 그 사람에게어서 가 봐맘도 여린 네가참 많이 힘들었겠다야윈 얼굴 좀 봐거짓말 같아물론 가슴 아프지만난 울지 않아너만 바라봤던 시간도난 아깝지 않아눈을 감았다 뜨고깨어보려 해도정말 꿈이 아닌가 봐너 떠나가나 봐사랑했잖아 정말 사랑했잖아이런 말은 소용없단 걸 알아서나는 애써 차가워지려 노력 중그래야 너 가는 길이 덜 힘들까 봐행복해야 돼 정말 행복해야 돼미안한 마음 같은 건 잊고 살아내 차가웠던 마지막 모습만 기억해끝내 착한 사람이 되려는걸너가 알았을까슬픔을 가린 두 눈을안간힘 쓰고 바라봐도달라질게 없어서 더 나아질게 없어서너만큼 사랑 줄 사람 또 없는데다가올 후회 속에 내 맘 묻어둔채날 용서해 미안해너 먼저 떠나가사랑했잖아 정말 사랑했잖아이런 말은 소용없단 걸 알아서나는 애써 차가워지려 노력 중그래야 너 가는 길이 덜 힘들까 봐행복해야 돼 정말 행복해야 돼미안한 마음 같은 건 잊고 살아내 차가웠던 마지막 모습만 기억해너무 추워지기 전에 잘 됐어내가 널 미워하려안간힘을 써 봐도절대 안 되는 것처럼나를 다시 사랑 할 수 없겠지사랑했잖아 정말 사랑했잖아이런 말은 소용없단 걸 알아서나는 애써 차가워지려 노력 중그래야 너 가는 길이 덜 힘들까 봐행복해야 돼 정말 행복해야 돼미안한 마음 같은 건 잊고 살아내 차가웠던 마지막 모습만 기억해
비비 (BIBI),신경쓰여,2020.02.02,R&B/Soul,불 꺼진 방안 뒹굴다전화는 왜 잠만 잘 자고혹시 그냥 쓱 오려나기다린 티 나면 안 되는데신경쓰여 신경쓰여같이 있고 싶단 말이오늘 밤 나의 모든 걸 알아줘너의 속마음을 보여줘속삭여줘 오 나만 알아들을 수 있게오늘 밤 나의 모든 걸 다 담아줘너의 눈동자에 새겨줘입 맞춰줘 오직 너의 눈빛에만 반짝이는 별이 될래문틈으로 스미는 너의 체온 냄새이 순간 나 젤 예뻐야 해신경쓰여 신경쓰여내가 보고 싶단 말이 오늘 밤 너의 작은 인형이 될게너의 주머니에 넣어줘날 데려가 줘어디든 너의 곁에 있고 싶어오늘 밤 나의 사랑을 다 먹어줘너의 심장 속에 가둬줘 영원토록 오 나만 보면 두근두근오늘을 기억해줘오늘 밤 나의 모든 걸 다 담아줘너의 눈동자에 새겨줘입 맞춰줘오직 너의 눈빛에만 반짝이는 별이너의 눈빛에만 반짝이는 내가 될래
소울스타 (SOULSTAR),잊을래,2006.04.21,R&B/Soul,니가 선물했던 그 추억으로 어떻게든 하룰 버텨내고 조각난 가슴을 애써 위로해도 가슴은 울컥 또 울려 하고 헤어지던 날 마주친 두 눈이 아직도 이렇게 눈에 선해 얼음같이 차갑게 느껴질만큼 제발 널 잊고 살아달라고 일년이 지나도 십년이 지나도 사랑했던 널 어떻게 잊고 살아가니 너 없이는 안되는 날 더 잘 알면서(i wating for U) 잡고 싶었는데 놓기 싫었는데 너에게 부담되는게 죽기보다 정말 싫어서 너를 보냈나봐 터지는 울음을 참아보려고 하늘로 눈을 옮겨 보아도 너의 사진만 끌어 안고 말았어 이렇게 니가 보고 싶은데 니 이름 세 글자 채 쓰기전에 눈물이 먼저 널 지워내고 내 입술이 너를 부르기도 전에 한숨이 먼저 널 지우나 봐 일년이 지나도 십년이 지나도 사랑했던 널 어떻게 잊고 살아가니 너 없이는 안되는 날 더 잘 알면서(i wating for U) 잡고 싶었는데 놓기 싫었는데 너에게 부담되는게 죽기보다 정말 싫어서 너를 보냈나봐 가끔 눈물이 나겠지만 아님 매일 울겠지만 너를 행복하게 만드는 일이면 괜찮아 널 사랑하니까 널 사랑하니까 그게 이유니까 어떻게든 너만은 행복하게 살아줘 죽을만큼 아프면서 보내주니까 (i wating for U) 잊어도 되겠니 지워도 되겠니 널 잊는다는게 내겐 어려운 일이 되겠지만 이게 내 몫인걸 -
Hoody (후디),D-day (Feat. 기리보이),2021.10.25,R&B/Soul,반복되는 매일투덜대는 나혼자 Day and night괜히 또 불안해자주 못 볼까 봐다시 오지 않을 것 같았던맑은 빛이 가득한 날이왠지 다가올 것 같아밤이 되면 구경해 저 Starlight아무도 모르게 둘이서선선한 어둠 속에서 눈 맞춰파란 바람 속에 우리너무도 완벽해걱정은 멀리멀리 다 날아가는 듯해사라진 듯해손에 쥐던 잔은 놓아대신 내 손을 잡아우리의 첫날 첫 느낌처음으로 만들어특별한 게 따로 있나그냥 나랑 같이 있자요즘은 나갈 수가 없어집에 너를 초대원래도 안 나갔지만오늘은 다른 루틴창밖 멍 때리기 시합 에어컨 바람오늘은 날 잡았으니오늘은 폰을 꺼두기우리 둘이 하면 뭐든 좋아넘 재밌는 놀이오글거릴 소리 해도 조금 참아 주기선물은 매일 하는 거고맛있는 밥을 해줘우리 둘의 party timeit’s like that ya밤이 되면 구경해 저 Starlight아무도 모르게 둘이서선선한 어둠 속에서 눈 맞춰너와 눈이 마주쳤지파란 바람 속에 우리너무도 완벽해걱정은 멀리멀리 다 날아가는 듯해사라진 듯해손에 쥐던 잔은 놓아대신 내 손을 잡아우리의 첫날 첫 느낌처음으로 만들어뻔한 일상이라도 너와 함께 있으면그 어떤 영화보다 영화 같아오늘을 꼭 기억해줘우리의 첫 느낌 그대로매일을 오늘처럼 새롭게파란 바람 속에 우리너무도 완벽해걱정은 멀리멀리 다 날아가는 듯해사라진 듯해손에 쥐던 잔은 놓아대신 내 손을 잡아우리의 첫날 첫 느낌처음으로 만들어
